,mwd_nom,mwd_nom_GDP,mwd_tips,mwd_tips_GDP,mwd_agg,mwd_agg_GDP,debt_nom,debt_nom_GDP,debt_tips,debt_tips_GDP,debt_agg,debt_agg_GDP,mat_nom,mat_tips,mat_agg
2014-06-30,86061516.17416666,4.859905853836211,20788046.44234184,1.1739038897537108,106849562.61650851,6.033809743589922,15781027.821875,0.8911568480373111,1926031.362984819,0.10876326041827017,17707059.18485982,0.9999201084555813,5.453479782531768,10.793202458617333,6.034291832483893
2014-07-31,85625368.47078124,4.809271621930546,21339925.68414191,1.1985875312393164,106965294.15492314,6.007859153169862,15838296.384375,0.8895806313183027,1962095.623899524,0.11020391470495233,17800392.008274525,0.9997845460232551,5.406223396302488,10.876088516894168,6.009153849263558
2014-08-31,87682928.27625,4.91493314819649,21176417.715483624,1.1870118783211006,108859345.99173363,6.1019450265175905,15901812.319375,0.8913518973574825,1961040.759124291,0.10992315632546068,17862853.07849929,1.0012750536829431,5.514021076038977,10.798560721879143,6.094174626715298
2014-09-30,87146666.44963542,4.875049906494416,21012997.65222327,1.175482854514477,108159664.10185869,6.050532761008894,15885266.5075,0.8886337269915244,1961040.759124291,0.1097020914153465,17846307.26662429,0.9983358184068709,5.486005941951957,10.715227388545811,6.060618731144237
2014-10-31,86732064.6656771,4.842099270870627,20849577.58896291,1.1639954015925735,107581642.25464001,6.006094672463201,15880876.576875001,0.8866015260916947,1958821.9666262353,0.10935759978650356,17839698.543501236,0.9959591258781983,5.461415448059859,10.643936990799142,6.030463014400575
2014-11-30,88724480.47958334,4.93945008208274,20686342.425077386,1.1516455800837617,109410822.90466073,6.091095662166501,15937678.05625,0.887278964696419,1958821.9666262353,0.1090511127429356,17896500.022876237,0.9963300774393545,5.566964031174529,10.560603657465807,6.113531850630354
2014-12-31,88241973.73531249,4.898819987239488,20523107.261191867,1.1393558393532748,108765080.99650437,6.038175826592763,15989778.637500001,0.887684668249591,1958821.9666262353,0.10874548466397561,17948600.604126237,0.9964301529135666,5.5186488653672265,10.477270324132474,6.059808416011004
2015-01-31,87723858.5571875,4.856407546785989,21072116.888239905,1.1665559309169278,108795975.4454274,6.022963477702916,15997787.53375,0.8856402053967424,1997065.3808842504,0.11055787498025729,17994852.91463425,0.9961980803769996,5.483499413410723,10.551540820816642,6.045949692478423
2015-02-28,89643389.70947917,4.943025489125208,22860611.14891155,1.260556790325173,112504000.85839072,6.203582279450382,16125498.16875,0.8891759752871602,2065510.7421389637,0.1138943125593922,18191008.910888962,1.0030702878465525,5.559108237859052,11.067776449924429,6.184593796281795
2015-03-31,89089119.75791667,4.893013657014185,22688485.2537333,1.2461125276032028,111777605.01164997,6.139126184617388,16152233.97625,0.8871240579302806,2065510.7421389637,0.11344339575313134,18217744.718388963,1.000567453683412,5.515591211030745,10.984443116591093,6.135644490551118
2015-04-30,88611540.40364584,4.847515725768189,22814588.65447897,1.2480775842033442,111426129.05812481,6.095593309971534,16192777.36125,0.8858297976195988,2097844.9053660347,0.1147631123740867,18290622.266616035,1.0005929099936854,5.472287948310647,10.875250403936917,6.091981313369491
2015-05-31,90532283.27270834,4.941635413316624,22639768.24569847,1.2357744272859965,113172051.51840681,6.177409840602621,16180906.31375,0.88322239061091,2097844.9053660347,0.1145092590316653,18278751.219116036,0.9977316496425753,5.5950069493806405,10.791917070603585,6.191454228013714
2015-06-30,90206365.60072917,4.912954014651809,22464947.836917963,1.2235195923184097,112671313.43764713,6.136473606970219,16252856.354375001,0.8851873739067962,2097844.9053660347,0.11425596720694832,18350701.259741034,0.9994433411137446,5.550185372582039,10.70858373727025,6.1398914320965385
2015-07-31,89687001.46703126,4.873862856849235,23019011.90389452,1.2509227121502469,112706013.37092578,6.1247855689994815,16337267.044375,0.8878164921064575,2141461.7145763687,0.11637350495963598,18478728.75895137,1.0041899970660935,5.4897187652882815,10.749205436272868,6.099229813973503
2015-08-31,91643084.52979167,4.977142883963594,22840556.76101316,1.2404723731433054,114483641.29080483,6.217615257106899,16447793.879375001,0.8932809353118065,2140292.06697839,0.11623942477953433,18588085.94635339,1.009520360091341,5.571755409989002,10.671700892326756,6.158979553958014
2015-09-30,91035125.60234374,4.941126996521198,22662199.08876496,1.2300395366857355,113697324.6911087,6.171166533206933,16497778.990625,0.8954523939396719,2140292.06697839,0.11616894954132746,18638071.05760339,1.0116213434809993,5.518023102023321,10.588367558993424,6.100273163446598
2015-10-31,90404054.89479166,4.903899270984078,22483841.41651676,1.2196188949676232,112887896.31130841,6.123518165951701,16544971.913749998,0.8974694309974474,2138098.5048742862,0.11597952892209507,18683070.418624286,1.0134489599195424,5.4641407290428665,10.515811766978782,6.042256105761702
2015-11-30,92668735.43375,5.018519631311542,22305666.54111057,1.2079740259980207,114974401.97486058,6.226493657309563,16820457.6475,0.9109199183145383,2138098.5048742862,0.1157897458097994,18958556.152374286,1.0267096641243376,5.509287403218973,10.43247843364545,6.064512563656473
